Activity Type,Distance,Calories,Avg HR,Avg Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Duration(min)
outdoor_cycling,15.43,555.0,185.0,19.5,236.0,243.0,86.0,2848.0
outdoor_cycling,1.91,50.0,142.0,11.9,43.0,39.0,74.0,9.6
outdoor_cycling,0.23,2.0,149.0,7.3,337.4,331.6,49.0,1.9
outdoor_cycling,57.67,1386.0,178.0,20.6,1247.0,1224.0,86.0,168.2
outdoor_cycling,2.87,66.0,158.0,15.3,46.0,46.0,79.0,11.3
outdoor_cycling,20.75,476.0,155.0,19.3,69.0,89.0,83.0,64.4
outdoor_cycling,25.48,618.0,166.0,21.5,272.0,266.0,86.0,71.0
outdoor_cycling,12.83,494.0,158.0,14.5,337.4,331.6,81.0,3184.0
outdoor_cycling,14.46,420.0,162.0,20.4,299.0,308.0,83.0,2548.0
outdoor_cycling,14.41,443.0,166.0,21.0,315.0,318.0,88.0,2475.0
indoor_cycling,13.22,477.0,153.0,15.6,7.0,10.0,83.0,3050.0
outdoor_cycling,49.75,1163.0,160.0,19.3,213.0,233.0,81.0,154.4
outdoor_cycling,23.48,615.0,144.0,15.6,154.0,151.0,77.0,90.5
outdoor_cycling,40.87,906.0,168.0,19.0,377.0,394.0,84.0,128.9
indoor_cycling,19.66,453.0,150.2,14.6,337.4,331.6,83.0,80.7
indoor_cycling,25.67,762.0,154.0,15.5,337.4,331.6,83.0,99.2
indoor_cycling,21.13,455.0,150.2,13.4,3.0,331.6,80.0,94.8
outdoor_cycling,0.64,12.0,152.0,10.5,52.0,43.0,70.0,3.6
outdoor_cycling,14.47,452.0,180.0,20.4,623.0,636.0,94.0,2558.0
outdoor_cycling,0.69,17.0,159.0,13.0,26.0,39.0,80.0,3.2
outdoor_cycling,1.86,42.0,150.0,11.7,72.0,105.0,80.0,9.5
outdoor_cycling,1.16,25.0,144.0,9.3,52.0,43.0,73.0,7.5
outdoor_cycling,6.88,219.0,174.0,23.2,266.0,295.0,87.0,17.8
outdoor_cycling,3.81,100.0,143.0,12.0,200.0,207.0,77.0,19.1
outdoor_cycling,0.98,16.0,133.0,9.5,33.0,26.0,71.0,6.2
outdoor_cycling,41.49,1196.0,174.0,19.2,2464.0,2543.0,90.0,129.8
outdoor_cycling,8.89,293.0,171.0,16.8,545.0,522.0,84.0,1904.0
indoor_cycling,19.73,431.0,121.0,16.7,337.4,331.6,81.0,70.8
indoor_cycling,27.28,731.0,149.0,17.2,337.4,331.6,83.0,95.4
indoor_cycling,45.09,833.0,150.2,13.1,337.4,331.6,83.0,205.7
indoor_cycling,21.98,764.0,150.2,15.1,337.4,331.6,83.0,87.2
outdoor_cycling,77.08,1892.0,162.0,19.6,433.0,449.0,81.0,236.4
outdoor_cycling,0.5,10.0,118.0,12.4,3.0,3.0,78.0,2.4
outdoor_cycling,41.04,1117.0,159.0,19.8,338.0,374.0,84.0,124.6
indoor_cycling,21.45,569.0,154.0,18.8,337.4,331.6,80.0,68.3
indoor_cycling,23.4,618.0,127.0,15.6,337.4,331.6,83.0,90.0
indoor_cycling,34.76,791.0,114.0,14.5,337.4,331.6,71.0,143.9
cycling,1.5,73.0,126.0,7.6,3.0,331.6,52.0,11.8
cycling,19.14,584.0,177.0,23.2,361.0,354.0,83.0,2974.0
outdoor_cycling,0.01,159.0,130.0,0.0,337.4,331.6,77.0,22.3
outdoor_cycling,0.36,4.0,118.0,6.6,337.4,331.6,66.0,3.3
outdoor_cycling,20.9,575.0,178.0,20.0,95.0,89.0,87.0,62.7
outdoor_cycling,5.35,118.0,152.0,11.5,39.0,43.0,75.0,1680.0
indoor_cycling,0.0,2.0,152.0,15.4,337.4,331.6,86.0,0.2
indoor_cycling,7.28,142.0,128.0,17.7,337.4,331.6,85.0,1479.0
outdoor_cycling,17.64,466.0,146.0,17.6,337.4,331.6,79.0,60.1
outdoor_cycling,0.73,2.0,72.0,36.2,3.0,7.0,83.0,1.2
outdoor_cycling,58.04,1441.0,154.0,21.4,322.0,331.0,85.0,162.8
outdoor_cycling,68.27,1791.0,153.0,18.1,440.0,466.0,81.0,225.8
outdoor_cycling,0.2,5.0,120.0,0.8,20.0,7.0,21.0,14.3
outdoor_cycling,14.94,477.0,178.0,20.0,279.0,243.0,90.0,2683.0
outdoor_cycling,0.86,17.0,159.0,14.8,39.0,59.0,76.0,3.5
outdoor_cycling,2.16,143.0,149.0,5.0,138.0,177.0,83.0,1563.0
outdoor_cycling,20.01,552.0,151.0,15.0,190.0,144.0,80.0,80.3
outdoor_cycling,20.42,586.0,176.0,21.9,167.0,174.0,87.0,3352.0
indoor_cycling,29.52,733.0,155.0,18.6,337.4,331.6,83.0,95.0
indoor_cycling,27.97,963.0,140.0,13.9,337.4,331.6,80.0,120.5
indoor_cycling,13.59,275.0,114.0,13.6,3.0,331.6,83.0,60.1
outdoor_cycling,52.35,1343.0,166.0,19.0,860.0,869.0,88.0,165.0
indoor_cycling,24.36,780.0,150.0,15.0,337.4,331.6,82.0,97.7
indoor_cycling,10.61,325.0,133.0,14.1,337.4,331.6,83.0,2711.0
outdoor_cycling,57.33,1504.0,145.0,19.5,262.0,289.0,87.0,176.6
outdoor_cycling,73.02,1956.0,156.0,19.3,289.0,318.0,88.0,226.5
indoor_cycling,14.9,441.0,140.0,16.0,337.4,30.0,87.0,3358.0
outdoor_cycling,42.22,1078.0,158.0,19.6,328.0,305.0,89.0,129.4
indoor_cycling,21.02,682.0,158.0,15.4,337.4,331.6,86.0,81.9
outdoor_cycling,1.33,16.0,107.0,6.6,30.0,33.0,54.0,12.0
outdoor_cycling,21.05,596.0,174.0,22.2,427.0,407.0,93.0,3416.0
outdoor_cycling,5.01,193.0,150.2,10.1,135.0,125.0,83.0,1788.0
outdoor_cycling,1.38,22.0,126.0,9.0,62.0,56.0,54.0,9.3
outdoor_cycling,14.71,442.0,179.0,20.7,436.0,449.0,90.0,2562.0
outdoor_cycling,5.23,130.0,151.0,14.1,230.0,256.0,77.0,22.2
cyclocross,2.32,204.0,121.0,4.0,59.0,66.0,83.0,2076.0
outdoor_cycling,20.6,546.0,176.0,21.8,148.0,141.0,89.0,3403.0
indoor_cycling,24.82,789.0,162.0,16.8,337.4,331.6,83.0,88.8
outdoor_cycling,42.65,1028.0,140.0,18.2,289.0,361.0,83.0,140.3
outdoor_cycling,31.2,796.0,167.0,20.9,279.0,289.0,90.0,89.8
cyclocross,13.63,425.0,150.2,11.0,115.0,121.0,83.0,74.3
indoor_cycling,5.77,184.0,150.0,16.8,337.4,331.6,84.0,20.6
indoor_cycling,23.36,810.0,163.0,15.9,7.0,3.0,84.0,88.4
outdoor_cycling,36.97,1065.0,148.0,18.5,502.0,518.0,90.0,120.1
outdoor_cycling,52.35,1495.0,158.0,19.9,361.0,325.0,92.0,158.0
outdoor_cycling,19.85,594.0,170.0,21.2,171.0,154.0,92.0,3375.0
indoor_cycling,23.15,814.0,168.0,16.9,337.4,331.6,83.0,82.3
indoor_cycling,21.05,638.0,139.0,16.6,337.4,331.6,82.0,76.2
outdoor_cycling,2.64,56.0,154.0,15.2,59.0,138.0,80.0,10.4
outdoor_cycling,39.51,1068.0,177.0,20.3,2444.0,2379.0,91.0,117.0
outdoor_cycling,2.45,60.0,161.0,13.4,131.0,30.0,81.0,11.0
outdoor_cycling,0.74,57.0,145.0,3.1,46.0,26.0,78.0,14.5
outdoor_cycling,8.55,261.0,153.0,16.8,72.0,69.0,87.0,1837.0
outdoor_cycling,19.18,550.0,177.0,21.8,131.0,141.0,88.0,3170.0
indoor_cycling,20.86,664.0,165.0,16.4,337.4,331.6,84.0,76.5
indoor_cycling,8.35,232.0,134.0,16.7,337.4,3.0,87.0,1803.0
outdoor_cycling,36.99,1136.0,155.0,17.8,364.0,410.0,89.0,124.8
outdoor_cycling,1.21,54.0,142.0,11.9,3.0,331.6,70.0,6.1
outdoor_cycling,12.32,377.0,180.0,22.9,92.0,102.0,84.0,1936.0
outdoor_cycling,0.64,195.0,161.0,2.0,3.0,7.0,82.0,19.0
indoor_cycling,21.59,681.0,165.0,17.3,337.4,331.6,85.0,75.0
indoor_cycling,18.57,729.0,152.0,14.0,337.4,7.0,85.0,79.6
outdoor_cycling,69.61,1806.0,150.0,17.8,427.0,413.0,88.0,235.1
outdoor_cycling,42.4,1153.0,156.0,17.5,909.0,863.0,89.0,145.0
indoor_cycling,3.08,101.0,139.0,9.4,337.4,331.6,96.0,19.7
outdoor_cycling,20.59,579.0,178.0,22.7,144.0,157.0,94.0,3269.0
indoor_cycling,14.34,390.0,150.2,17.9,337.4,331.6,84.0,2886.0
cycling,15.95,549.0,146.0,15.3,23.0,10.0,83.0,62.6
cycling,13.73,587.0,150.0,12.8,115.0,131.0,83.0,64.2
indoor_cycling,25.66,766.0,158.0,15.1,10.0,331.6,83.0,102.3
indoor_cycling,5.56,155.0,138.0,16.1,337.4,331.6,89.0,20.7
cycling,25.92,917.0,169.0,16.8,337.4,331.6,83.0,92.6
cycling,2.18,56.0,143.0,11.7,337.4,331.6,73.0,11.2
cycling,14.75,462.0,179.0,21.2,118.0,98.0,90.0,2509.0
cycling,4.6,127.0,158.0,12.9,39.0,36.0,83.0,21.4
cycling,0.35,7.0,152.0,14.7,3.0,331.6,72.0,1.4
cycling,9.64,337.0,179.0,20.3,98.0,82.0,88.0,1712.0
cycling,0.79,35.0,166.0,9.6,10.0,331.6,84.0,4.9
indoor_cycling,0.0,52.0,150.0,15.4,337.4,331.6,87.0,7.7
indoor_cycling,9.09,238.0,135.0,16.5,337.4,331.6,83.0,1982.0
